SIGLA,Year,Population,State,Number of Companies,Population-to-Companies Ratio
MA,2011,1280679,Maranhão,489,2618.9754601226996
MG,2011,5240548,Minas Gerais,6416,816.7936408977556
MS,2011,621543,Mato Grosso do Sul,637,975.734693877551
MT,2011,749428,Mato Grosso,848,883.7594339622641
PA,2011,1525302,Pará,725,2103.864827586207
PB,2011,880156,Paraíba,893,985.6170212765958
PE,2011,2079805,Pernambuco,1429,1455.4268719384186
PI,2011,706828,Piauí,350,2019.5085714285715
PR,2011,2858364,Paraná,4033,708.7438631291842
RJ,2011,4544128,Rio de Janeiro,3636,1249.7601760176017
RN,2011,754136,Rio Grande do Norte,774,974.3359173126615
RO,2011,367414,Rondônia,358,1026.296089385475
RR,2011,89641,Roraima,78,1149.2435897435898
RS,2011,3046664,Rio Grande do Sul,4346,701.0271514035895
SC,2011,1751298,Santa Catarina,3298,531.018192844148
SE,2011,474950,Sergipe,374,1269.9197860962568
SP,2011,11362761,São Paulo,13832,821.4835887796414
TO,2011,300777,Tocantins,247,1217.7206477732793
AC,2012,145075,Acre,149,973.6577181208054
AL,2012,693898,Alagoas,390,1779.225641025641
AM,2012,696527,Amazonas,498,1398.64859437751
AP,2012,130168,Amapá,108,1205.2592592592594
BA,2012,3339391,Bahia,2074,1610.1210221793635
CE,2012,1971344,Ceará,1259,1565.8014297061159
DF,2012,663342,Distrito Federal,1227,540.6210268948655
ES,2012,966152,Espírito Santo,1457,663.1105010295126
GO,2012,1609506,Goiás,1743,923.4113597246127
MA,2012,1309832,Maranhão,546,2398.959706959707
MG,2012,5319244,Minas Gerais,6965,763.7105527638191
MS,2012,634810,Mato Grosso do Sul,669,948.8938714499253
MT,2012,771609,Mato Grosso,956,807.1223849372385
PA,2012,1573611,Pará,763,2062.399737876802
PB,2012,899906,Paraíba,952,945.2794117647059
PE,2012,2127240,Pernambuco,1397,1522.720114531138
PI,2012,721846,Piauí,362,1994.0497237569061
PR,2012,2905756,Paraná,4693,619.1681227359898
RJ,2012,4592137,Rio de Janeiro,3942,1164.92567224759
RN,2012,772737,Rio Grande do Norte,798,968.3421052631579
RO,2012,377957,Rondônia,339,1114.9174041297936
RR,2012,93448,Roraima,72,1297.888888888889
RS,2012,3060410,Rio Grande do Sul,5079,602.5615278598149
SC,2012,1789199,Santa Catarina,4056,441.1240138067061
SE,2012,488295,Sergipe,303,1611.5346534653465
SP,2012,11554562,São Paulo,15054,767.5409857845091
TO,2012,309843,Tocantins,230,1347.1434782608696
AC,2013,150539,Acre,165,912.3575757575758
AL,2013,709277,Alagoas,479,1480.7453027139875
AM,2013,722756,Amazonas,595,1214.7159663865546
AP,2013,135763,Amapá,131,1036.3587786259543
BA,2013,3415946,Bahia,2471,1382.4144071226224
CE,2013,2015846,Ceará,1423,1416.6170063246661
DF,2013,684274,Distrito Federal,1396,490.1676217765043
ES,2013,984449,Espírito Santo,1394,706.2044476327117
GO,2013,1656628,Goiás,2020,820.1128712871288
MA,2013,1340389,Maranhão,611,2193.7626841243864
MG,2013,5396985,Minas Gerais,6419,840.7828322168563
MS,2013,647954,Mato Grosso do Sul,720,899.9361111111111
MT,2013,794173,Mato Grosso,1032,769.547480620155
PA,2013,1623426,Pará,831,1953.5812274368232
PB,2013,920356,Paraíba,1009,912.1466798810703
PE,2013,2175601,Pernambuco,1609,1352.144810441268
PI,2013,737442,Piauí,392,1881.2295918367347
PR,2013,2951442,Paraná,4818,612.5865504358655
RJ,2013,4639026,Rio de Janeiro,4433,1046.4755244755245
RN,2013,791359,Rio Grande do Norte,867,912.7554786620531
RO,2013,388449,Rondônia,368,1055.5679347826087
RR,2013,97467,Roraima,76,1282.4605263157894
RS,2013,3072149,Rio Grande do Sul,5210,589.663915547025
SC,2013,1827463,Santa Catarina,4283,426.67826289983657
SE,2013,501732,Sergipe,385,1303.2
SP,2013,11743134,São Paulo,16341,718.6300715990453
TO,2013,319187,Tocantins,258,1237.1589147286822
AC,2014,156171,Acre,182,858.0824175824176
AL,2014,725164,Alagoas,442,1640.6425339366515
AM,2014,749874,Amazonas,632,1186.509493670886
AP,2014,141419,Amapá,136,1039.8455882352941
BA,2014,3496296,Bahia,2709,1290.622369878184
CE,2014,2062000,Ceará,1601,1287.945034353529
DF,2014,706097,Distrito Federal,1313,537.7738004569687
ES,2014,1003076,Espírito Santo,1431,700.9615653389238
GO,2014,1704193,Goiás,2052,830.5034113060428
MA,2014,1373289,Maranhão,628,2186.765923566879
MG,2014,5475679,Minas Gerais,7432,736.7705866523144
MS,2014,661299,Mato Grosso do Sul,791,836.0290771175727
MT,2014,817426,Mato Grosso,1164,702.2560137457044
PA,2014,1675030,Pará,956,1752.123430962343
PB,2014,941732,Paraíba,1172,803.5255972696245
PE,2014,2225004,Pernambuco,1614,1378.5650557620818
PI,2014,753904,Piauí,484,1557.6528925619834
PR,2014,2996987,Paraná,5654,530.0649097983728
RJ,2014,4686048,Rio de Janeiro,4837,968.7922265867273
RN,2014,810183,Rio Grande do Norte,1037,781.2757955641273
RO,2014,398948,Rondônia,347,1149.706051873199
RR,2014,101733,Roraima,88,1156.0568181818182
RS,2014,3083698,Rio Grande do Sul,5752,536.1088317107093
SC,2014,1867062,Santa Catarina,4753,392.8175888912266
SE,2014,515462,Sergipe,422,1221.4739336492892
SP,2014,11933132,São Paulo,16732,713.1922065503227
TO,2014,328871,Tocantins,327,1005.7217125382263
AC,2015,161955,Acre,161,1005.9316770186335
AL,2015,741658,Alagoas,509,1457.0884086444007
AM,2015,777884,Amazonas,572,1359.937062937063
AP,2015,147093,Amapá,147,1000.6326530612245
BA,2015,3581339,Bahia,2824,1268.1795325779037
CE,2015,2110520,Ceará,1846,1143.29360780065
DF,2015,728885,Distrito Federal,1318,553.0235204855842
ES,2015,1022286,Espírito Santo,1556,656.9961439588689
GO,2015,1752215,Goiás,2040,858.9289215686274
