SIGLA,Year,Population,Number of Companies,Population-to-Companies Ratio
RS,2011,3046664.0,4346.0,701.0271514035895
SC,2011,1751298.0,3298.0,531.018192844148
SE,2011,474950.0,374.0,1269.9197860962568
SP,2011,11362761.0,13832.0,821.4835887796414
TO,2011,300777.0,247.0,1217.7206477732793
AC,2012,145075.0,149.0,973.6577181208054
AL,2012,693898.0,390.0,1779.225641025641
AM,2012,696527.0,498.0,1398.64859437751
AP,2012,130168.0,108.0,1205.2592592592594
BA,2012,3339391.0,2074.0,1610.1210221793635
CE,2012,1971344.0,1259.0,1565.8014297061159
DF,2012,663342.0,1227.0,540.6210268948655
ES,2012,966152.0,1457.0,663.1105010295126
GO,2012,1609506.0,1743.0,923.4113597246127
MA,2012,1309832.0,546.0,2398.959706959707
MG,2012,5319244.0,6965.0,763.7105527638191
MS,2012,634810.0,669.0,948.8938714499253
MT,2012,771609.0,956.0,807.1223849372385
PA,2012,1573611.0,763.0,2062.399737876802
PB,2012,899906.0,952.0,945.2794117647059
PE,2012,2127240.0,1397.0,1522.720114531138
PI,2012,721846.0,362.0,1994.0497237569061
PR,2012,2905756.0,4693.0,619.1681227359898
RJ,2012,4592137.0,3942.0,1164.92567224759
RN,2012,772737.0,798.0,968.3421052631579
RO,2012,377957.0,339.0,1114.9174041297936
RR,2012,93448.0,72.0,1297.888888888889
RS,2012,3060410.0,5079.0,602.5615278598149
SC,2012,1789199.0,4056.0,441.1240138067061
SE,2012,488295.0,303.0,1611.5346534653465
SP,2012,11554562.0,15054.0,767.5409857845091
TO,2012,309843.0,230.0,1347.1434782608696
AC,2013,150539.0,165.0,912.3575757575758
AL,2013,709277.0,479.0,1480.7453027139875
AM,2013,722756.0,595.0,1214.7159663865546
AP,2013,135763.0,131.0,1036.3587786259543
BA,2013,3415946.0,2471.0,1382.4144071226224
CE,2013,2015846.0,1423.0,1416.6170063246661
DF,2013,684274.0,1396.0,490.1676217765043
ES,2013,984449.0,1394.0,706.2044476327117
GO,2013,1656628.0,2020.0,820.1128712871288
MA,2013,1340389.0,611.0,2193.7626841243864
MG,2013,5396985.0,6419.0,840.7828322168563
MS,2013,647954.0,720.0,899.9361111111111
MT,2013,794173.0,1032.0,769.547480620155
PA,2013,1623426.0,831.0,1953.5812274368232
PB,2013,920356.0,1009.0,912.1466798810703
PE,2013,2175601.0,1609.0,1352.144810441268
PI,2013,737442.0,392.0,1881.2295918367347
PR,2013,2951442.0,4818.0,612.5865504358655
RJ,2013,4639026.0,4433.0,1046.4755244755245
RN,2013,791359.0,867.0,912.7554786620531
RO,2013,388449.0,368.0,1055.5679347826087
RR,2013,97467.0,76.0,1282.4605263157894
RS,2013,3072149.0,5210.0,589.663915547025
SC,2013,1827463.0,4283.0,426.67826289983657
SE,2013,501732.0,385.0,1303.2
SP,2013,11743134.0,16341.0,718.6300715990453
TO,2013,319187.0,258.0,1237.1589147286822
AC,2014,156171.0,182.0,858.0824175824176
AL,2014,725164.0,442.0,1640.6425339366515
AM,2014,749874.0,632.0,1186.509493670886
AP,2014,141419.0,136.0,1039.8455882352941
BA,2014,3496296.0,2709.0,1290.622369878184
CE,2014,2062000.0,1601.0,1287.945034353529
DF,2014,706097.0,1313.0,537.7738004569687
ES,2014,1003076.0,1431.0,700.9615653389238
GO,2014,1704193.0,2052.0,830.5034113060428
MA,2014,1373289.0,628.0,2186.765923566879
MG,2014,5475679.0,7432.0,736.7705866523144
MS,2014,661299.0,791.0,836.0290771175727
MT,2014,817426.0,1164.0,702.2560137457044
PA,2014,1675030.0,956.0,1752.123430962343
PB,2014,941732.0,1172.0,803.5255972696245
PE,2014,2225004.0,1614.0,1378.5650557620818
PI,2014,753904.0,484.0,1557.6528925619834
PR,2014,2996987.0,5654.0,530.0649097983728
RJ,2014,4686048.0,4837.0,968.7922265867273
RN,2014,810183.0,1037.0,781.2757955641273
RO,2014,398948.0,347.0,1149.706051873199
RR,2014,101733.0,88.0,1156.0568181818182
RS,2014,3083698.0,5752.0,536.1088317107093
SC,2014,1867062.0,4753.0,392.8175888912266
SE,2014,515462.0,422.0,1221.4739336492892
SP,2014,11933132.0,16732.0,713.1922065503227
TO,2014,328871.0,327.0,1005.7217125382263
AC,2015,161955.0,161.0,1005.9316770186335
AL,2015,741658.0,509.0,1457.0884086444007
AM,2015,777884.0,572.0,1359.937062937063
AP,2015,147093.0,147.0,1000.6326530612245
BA,2015,3581339.0,2824.0,1268.1795325779037
CE,2015,2110520.0,1846.0,1143.29360780065
DF,2015,728885.0,1318.0,553.0235204855842
ES,2015,1022286.0,1556.0,656.9961439588689
GO,2015,1752215.0,2040.0,858.9289215686274
MA,2015,1409105.0,653.0,2157.894333843798
MG,2015,5556389.0,7655.0,725.850947093403
MS,2015,675010.0,778.0,867.6221079691517
MT,2015,841598.0,1180.0,713.2186440677966
PA,2015,1728406.0,959.0,1802.3003128258604
PB,2015,964170.0,1228.0,785.1547231270358
PE,2015,2275381.0,1556.0,1462.3271208226222
PI,2015,771438.0,467.0,1651.9014989293362
PR,2015,3043229.0,5532.0,550.1137020968908
RJ,2015,4733643.0,4728.0,1001.1935279187817
RN,2015,829425.0,962.0,862.1881496881497
RO,2015,409465.0,384.0,1066.3151041666667
RR,2015,106287.0,99.0,1073.6060606060605
RS,2015,3096331.0,5820.0,532.0156357388316
SC,2015,1908738.0,4435.0,430.3806087936866
SE,2015,529613.0,467.0,1134.0749464668095
SP,2015,12127183.0,16165.0,750.2123724095268
TO,2015,338902.0,341.0,993.8475073313783
AC,2016,167913.0,125.0,1343.304
AL,2016,758748.0,432.0,1756.361111111111
AM,2016,806809.0,464.0,1738.8125
AP,2016,152771.0,143.0,1068.3286713286714
BA,2016,3671370.0,2313.0,1587.2762645914397
CE,2016,2161338.0,1656.0,1305.1557971014493
DF,2016,752645.0,1017.0,740.0639134709932
ES,2016,1042163.0,1147.0,908.5989537925021
GO,2016,1800772.0,1779.0,1012.238336143901
MA,2016,1447930.0,614.0,2358.1921824104234
MG,2016,5639810.0,7058.0,799.0663077359026
MS,2016,689199.0,716.0,962.56843575419
MT,2016,866787.0,1122.0,772.5374331550802
PA,2016,1783544.0,691.0,2581.1056439942113
PB,2016,987726.0,1126.0,877.1989342806394
PE,2016,2326721.0,1820.0,1278.418131868132
PI,2016,790059.0,399.0,1980.0977443609022
PR,2016,3090722.0,4702.0,657.3207145895364
RJ,2016,4782447.0,4071.0,1174.7597641857037
RN,2016,849100.0,914.0,928.9934354485777
RO,2016,419962.0,325.0,1292.1907692307693
